NOC,Year,Predicted_Gold
SUD,2024,0.1595855820572929
SUI,2024,11.136130749486668
SUR,2024,0.19175175798869848
SVK,2024,4.235716081380078
SWE,2024,10.482626811948506
SWZ,2024,0.01664004874214875
SYR,2024,0.6892683609973131
TAN,2024,0.1456112540542005
TCH,2024,11.211514785025672
TGA,2024,0.2140072686163732
THA,2024,4.08305964554595
TJK,2024,0.46346848175628974
TKM,2024,0.5472012948336884
TLS,2024,0.05650326139266593
TOG,2024,0.14099294108758986
TPE,2024,7.621506714213268
TTO,2024,1.3728647610024787
TUN,2024,3.1808834935196577
TUR,2024,10.145516031485636
TUV,2024,-0.018216102750789886
UAE,2024,0.43478787778257555
UGA,2024,2.7072945237031782
UKR,2024,15.546537327999157
URU,2024,0.5528284259813852
USA,2024,100.38809613081816
UZB,2024,9.017666434593474
