NOC,Year,Predicted_Gold
ISV,2024,0.02812695180861824
ITA,2024,9.468112861888837
IVB,2024,-0.00938163629700317
JAM,2024,3.7332657187580636
JOR,2024,0.3353436165891759
JPN,2024,18.35977700482799
KAZ,2024,1.6966449106931731
KEN,2024,3.586563980177866
KGZ,2024,0.210172635476783
KIR,2024,0.007469919272972136
KOR,2024,6.933855386916203
KSA,2024,0.14973142935741346
KUW,2024,0.11928945984089068
LAO,2024,0.02155597854250524
LAT,2024,0.7995734935983576
LBA,2024,0.05577908001507059
LBR,2024,-0.03656170813480197
LCA,2024,0.017798435540795188
LES,2024,-0.009333702333043314
LIB,2024,0.129804209525046
LIE,2024,0.007469919272972136
LTU,2024,0.49231463532057695
LUX,2024,0.1387165566869084
MAD,2024,0.04497850737859399
MAR,2024,0.9242563401942039
MAS,2024,0.5347184771770566
MAW,2024,0.03793547774382744
MDA,2024,0.14974760380258734
MDV,2024,0.010755405906028637
MEX,2024,1.5515452271366117
MGL,2024,0.5988379041655312
MHL,2024,-0.02247564886526887
MKD,2024,0.12357516373966937
MLI,2024,0.02484146517556174
MLT,2024,0.07168652284773924
MNE,2024,0.3515316409265514
MON,2024,0.06792897984602919
MOZ,2024,0.09182356505077105
MRI,2024,0.1129526539550707
MTN,2024,-0.039847194767858474
MYA,2024,0.015032939240352983
NAM,2024,0.11986555470192006
NCA,2024,0.08196710515160155
NED,2024,8.52435227105834
NEP,2024,0.05202153701336054
NGR,2024,0.47426208976696294
NIG,2024,0.06251874461541651
NOR,2024,2.55886118498108
NRU,2024,-0.01595260956311617
NZL,2024,5.524445399853532
OMA,2024,0.030892448109060888
PAK,2024,0.08853807841771455
PAN,2024,0.1026720716512084
PAR,2024,0.1129526539550707
PER,2024,0.42505648275556296
PHI,2024,0.7264995118143531
PLE,2024,0.04497850737859399
PLW,2024,0.004704422972529931
PNG,2024,0.07920160885115934
POL,2024,3.979168491926878
POR,2024,1.4257006089845667
PRK,2024,2.1718917437758796
PUR,2024,1.1178945731160153
QAT,2024,1.248098256563643
ROU,2024,1.9645631750055628
RSA,2024,1.98705961287646
RWA,2024,0.024369408806908188
SAM,2024,0.0787295524825058
SCG,2024,3.922494445073452
SEN,2024,0.19312463432646632
SEY,2024,0.06563553991424009
SGP,2024,0.393524358181786
SKN,2024,-0.016848788336463416
SLE,2024,0.010755405906028637
SLO,2024,2.156471948773901
SMR,2024,0.08544903736499898
SOL,2024,0.007469919272972136
SOM,2024,-0.019710152564826222
SRB,2024,2.61458060647398
SRI,2024,0.12604666652333596
STP,2024,-0.012667122930059671
SUD,2024,0.041220964376883495
SUI,2024,3.294441102777764
SUR,2024,0.02484146517556174
SVK,2024,1.3391569032790156
SWE,2024,3.415267894211776
SWZ,2024,0.00042688963820558534
SYR,2024,0.11048115117140411
TAN,2024,-0.01590467559915587
TCH,2024,3.689110057657728
TGA,2024,0.04826399401165049
THA,2024,1.5242120637662346
TJK,2024,0.17332102068129962
TKM,2024,0.07677804003145305
TLS,2024,-0.012667122930059671
TOG,2024,0.03793547774382744
TPE,2024,1.7802532386358425
TTO,2024,0.34937998999406705
TUN,2024,1.0125972473976188
TUR,2024,2.205318601015343
TUV,2024,-0.043132681400914974
UAE,2024,0.08848197388929946
UGA,2024,0.9943179048098792
UKR,2024,2.921989449314827
URU,2024,0.11628607455208795
USA,2024,37.23436400266595
UZB,2024,2.5420052446179313
VAN,2024,0.01827049190944874
VEN,2024,0.8516204944405203
VIE,2024,0.8852513268568785
VIN,2024,-0.00938163629700317
VNM,2024,-0.0018186163296227686
YEM,2024,0.03136450447771444
YUG,2024,0.9927926781522692
ZAM,2024,0.06840103621468274
ZIM,2024,0.5571590989354152
